0:0:0:0:0:0:0:1 - - [07/Dec/2023:15:42:17 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=2&PALABRA=Pro HTTP/1.1" 200 3218
127.0.0.1 - - [07/Dec/2023:16:45:05 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=sa HTTP/1.1" 200 2
127.0.0.1 - - [07/Dec/2023:16:45:43 +0100] "GET /Controller?ACTION=USUARIO.LOGIN&EMAIL=&PASS= HTTP/1.1" 200 34
127.0.0.1 - - [07/Dec/2023:16:45:43 +0100] "GET /Controller?ACTION=PRODUCTOS.FILTER_USUARIO&ID=1 HTTP/1.1" 200 735
127.0.0.1 - - [07/Dec/2023:16:45:46 +0100] "GET /Controller?ACTION=PRODUCTOS.FIND_ALL&ID=1 HTTP/1.1" 200 3220
127.0.0.1 - - [07/Dec/2023:16:45:50 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=sa HTTP/1.1" 200 2
127.0.0.1 - - [07/Dec/2023:16:51:32 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=sa HTTP/1.1" 200 2
127.0.0.1 - - [07/Dec/2023:16:51:37 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=X HTTP/1.1" 200 2
127.0.0.1 - - [07/Dec/2023:16:51:39 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=X HTTP/1.1" 200 2
127.0.0.1 - - [07/Dec/2023:16:51:41 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=Z HTTP/1.1" 200 2
127.0.0.1 - - [07/Dec/2023:16:51:54 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=J HTTP/1.1" 200 271
127.0.0.1 - - [07/Dec/2023:16:51:59 +0100] "GET /Controller?ACTION=PRODUCTOS.PUNTUAR&ID=0&VALORACION=130 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2023:16:52:01 +0100] "GET /Controller?ACTION=PRODUCTOS.PUNTUAR&ID=0&VALORACION=0 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2023:16:52:20 +0100] "GET /Controller?ACTION=PRODUCTOS.FIND_ALL&ID=1 HTTP/1.1" 200 3220
127.0.0.1 - - [07/Dec/2023:16:52:23 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=j HTTP/1.1" 200 271
127.0.0.1 - - [07/Dec/2023:16:52:24 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=j HTTP/1.1" 200 271
127.0.0.1 - - [07/Dec/2023:16:52:29 +0100] "GET /Controller?ACTION=PRODUCTOS.PUNTUAR&ID=0&VALORACION=2 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2023:16:52:34 +0100] "GET /Controller?ACTION=PRODUCTOS.FIND_ALL&ID=1 HTTP/1.1" 200 3220
127.0.0.1 - - [07/Dec/2023:16:52:37 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=j HTTP/1.1" 200 271
127.0.0.1 - - [07/Dec/2023:16:53:34 +0100] "GET /Controller?ACTION=USUARIO.LOGIN&EMAIL=&PASS= HTTP/1.1" 200 34
127.0.0.1 - - [07/Dec/2023:16:53:35 +0100] "GET /Controller?ACTION=PRODUCTOS.FILTER_USUARIO&ID=1 HTTP/1.1" 200 735
127.0.0.1 - - [07/Dec/2023:16:59:06 +0100] "GET /Controller?ACTION=USUARIO.LOGIN&EMAIL=&PASS= HTTP/1.1" 200 34
127.0.0.1 - - [07/Dec/2023:16:59:06 +0100] "GET /Controller?ACTION=PRODUCTOS.FILTER_USUARIO&ID=1 HTTP/1.1" 200 735
127.0.0.1 - - [07/Dec/2023:16:59:09 +0100] "GET /Controller?ACTION=PRODUCTOS.FIND_ALL&ID=1 HTTP/1.1" 200 3220
127.0.0.1 - - [07/Dec/2023:16:59:39 +0100] "GET /Controller?ACTION=USUARIO.LOGIN&EMAIL=&PASS= HTTP/1.1" 200 34
127.0.0.1 - - [07/Dec/2023:16:59:40 +0100] "GET /Controller?ACTION=PRODUCTOS.FILTER_USUARIO&ID=1 HTTP/1.1" 200 735
127.0.0.1 - - [07/Dec/2023:16:59:42 +0100] "GET /Controller?ACTION=PRODUCTOS.FIND_ALL&ID=1 HTTP/1.1" 200 3220
127.0.0.1 - - [07/Dec/2023:16:59:49 +0100] "GET /Controller?ACTION=PRODUCTOS.PUNTUAR&ID=2&VALORACION=10 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2023:19:31:51 +0100] "GET /Controller?ACTION=USUARIO.LOGIN&EMAIL=&PASS= HTTP/1.1" 200 34
127.0.0.1 - - [07/Dec/2023:19:31:52 +0100] "GET /Controller?ACTION=PRODUCTOS.FILTER_USUARIO&ID=1 HTTP/1.1" 200 735
127.0.0.1 - - [07/Dec/2023:19:31:54 +0100] "GET /Controller?ACTION=PRODUCTOS.FIND_ALL&ID=1 HTTP/1.1" 200 3208
127.0.0.1 - - [07/Dec/2023:19:32:05 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=NoActive HTTP/1.1" 200 2
127.0.0.1 - - [07/Dec/2023:19:32:07 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=Active HTTP/1.1" 200 3208
127.0.0.1 - - [07/Dec/2023:19:32:21 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=Active HTTP/1.1" 200 3208
127.0.0.1 - - [07/Dec/2023:19:32:22 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=NoActive HTTP/1.1" 200 2
127.0.0.1 - - [07/Dec/2023:19:32:24 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=Active HTTP/1.1" 200 3208
127.0.0.1 - - [07/Dec/2023:19:32:25 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=Active HTTP/1.1" 200 3208
127.0.0.1 - - [07/Dec/2023:19:32:26 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=Active HTTP/1.1" 200 3208
127.0.0.1 - - [07/Dec/2023:19:32:26 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=Active HTTP/1.1" 200 3208
127.0.0.1 - - [07/Dec/2023:19:32:47 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=NoActive HTTP/1.1" 200 2
127.0.0.1 - - [07/Dec/2023:19:32:48 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=Active HTTP/1.1" 200 3208
127.0.0.1 - - [07/Dec/2023:19:32:49 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=NoActive HTTP/1.1" 200 2
127.0.0.1 - - [07/Dec/2023:19:33:04 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=NoActive HTTP/1.1" 200 2
127.0.0.1 - - [07/Dec/2023:19:33:05 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=Active HTTP/1.1" 200 3208
127.0.0.1 - - [07/Dec/2023:19:33:06 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=Active HTTP/1.1" 200 3208
127.0.0.1 - - [07/Dec/2023:19:33:07 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=NoActive HTTP/1.1" 200 2
127.0.0.1 - - [07/Dec/2023:19:33:27 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=NoActive HTTP/1.1" 200 270
127.0.0.1 - - [07/Dec/2023:19:33:31 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=Active HTTP/1.1" 200 2942
127.0.0.1 - - [07/Dec/2023:19:33:31 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=Active HTTP/1.1" 200 2942
127.0.0.1 - - [07/Dec/2023:19:34:11 +0100] "GET /Controller?ACTION=USUARIO.LOGIN&EMAIL=&PASS= HTTP/1.1" 200 34
127.0.0.1 - - [07/Dec/2023:19:34:12 +0100] "GET /Controller?ACTION=PRODUCTOS.FILTER_USUARIO&ID=1 HTTP/1.1" 200 737
127.0.0.1 - - [07/Dec/2023:19:34:14 +0100] "GET /Controller?ACTION=PRODUCTOS.FIND_ALL&ID=1 HTTP/1.1" 200 3210
127.0.0.1 - - [07/Dec/2023:19:34:20 +0100] "GET /Controller?ACTION=PRODUCTOS.PUNTUAR&ID=2&VALORACION=9 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2023:19:35:20 +0100] "GET /Controller?ACTION=USUARIO.LOGIN&EMAIL=&PASS= HTTP/1.1" 200 34
127.0.0.1 - - [07/Dec/2023:19:35:21 +0100] "GET /Controller?ACTION=PRODUCTOS.FILTER_USUARIO&ID=1 HTTP/1.1" 200 737
127.0.0.1 - - [07/Dec/2023:19:35:25 +0100] "GET /Controller?ACTION=PRODUCTOS.FIND_ALL&ID=1 HTTP/1.1" 200 3210
127.0.0.1 - - [07/Dec/2023:19:35:39 +0100] "GET /Controller?ACTION=PRODUCTOS.PUNTUAR&ID=9&VALORACION=6 HTTP/1.1" 200 -
127.0.0.1 - - [07/Dec/2023:19:35:46 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=sa HTTP/1.1" 200 2
127.0.0.1 - - [07/Dec/2023:19:35:48 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=s HTTP/1.1" 200 2
127.0.0.1 - - [07/Dec/2023:19:35:52 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=D HTTP/1.1" 200 3210
127.0.0.1 - - [07/Dec/2023:19:36:04 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=J HTTP/1.1" 200 271
127.0.0.1 - - [07/Dec/2023:19:36:08 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=NoActive HTTP/1.1" 200 270
127.0.0.1 - - [07/Dec/2023:19:36:09 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=Active HTTP/1.1" 200 2942
